"year","count"
1901,12
1902,5
1903,10
1904,5
1905,5
1906,11
1907,5
1908,10
1909,11
1910,5
1911,6
1912,7
1913,6
1914,1
1915,6
1916,15
1917,4
1918,6
1919,5
1920,5
1921,6
1922,4
1923,7
1924,8
1925,2
1926,11
1927,7
1928,6
1929,3
1930,2
1931,9
1932,11
1933,21
1934,11
1935,6
1936,16
1937,9
1938,8
1939,5
1940,8
1941,6
1942,10
1943,10
1944,11
1945,11
1946,6
1947,9
1948,9
1949,13
1950,13
1951,10
1952,7
1953,14
1954,11
1955,12
1956,8
1957,8
1958,10
1959,11
1960,7
1961,11
1962,5
1963,9
1964,12
1965,6
1966,11
1967,8
1968,7
1969,17
1970,10
1971,13
1972,4
1973,7
1974,8
1975,8
1976,8
1977,6
1978,11
1979,8
1980,11
1981,11
1982,5
1983,4
1984,12
1985,11
1986,6
1987,7
1988,12
1989,11
1990,14
1991,8
1992,6
1993,8
1994,7
1995,19
1996,13
1997,7
1998,14
1999,12
2000,14
